epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,531.138,0.50409,3.72131,1.1692,0.0559,0.83393,0.08939,0.08228,0.27581,4.35434,0.96118,0.0001315,0.0001315,0.0001315
2,1042.84,0.41855,3.28672,1.08358,0.02541,0.99447,0.10562,0.09868,0.35301,4.0855,1.01835,0.000254981,0.000254981,0.000254981
3,1551.33,0.46766,3.01468,1.10248,0.03591,0.99245,0.12473,0.11383,0.44355,3.90727,1.10439,0.000364923,0.000364923,0.000364923
4,2051.59,0.44881,2.8519,1.10169,0.12016,0.49055,0.17153,0.1609,0.36087,3.42846,1.01253,0.000447889,0.000447889,0.000447889
5,2599.96,0.45758,2.69737,1.08981,0.13413,0.52575,0.1917,0.1738,0.42315,3.48768,1.06633,0.000421852,0.000421852,0.000421852
6,3102.93,0.45452,2.59046,1.07872,0.14483,0.69985,0.2197,0.20676,0.34974,3.66291,1.00483,0.000395815,0.000395815,0.000395815
7,3603.36,0.43947,2.53302,1.0732,0.18338,0.57601,0.28209,0.25249,0.44532,3.12991,1.11787,0.000369778,0.000369778,0.000369778
8,4111.17,0.41041,2.42186,1.06445,0.2196,0.6464,0.32856,0.30908,0.35544,3.04599,1.0017,0.000343741,0.000343741,0.000343741
9,4609.51,0.39776,2.35078,1.04846,0.2603,0.6017,0.30109,0.2832,0.3362,3.02338,0.97395,0.000317704,0.000317704,0.000317704
10,5111.11,0.37618,2.24391,1.01195,0.25237,0.55984,0.33832,0.32826,0.2862,2.96983,0.93539,0.000291667,0.000291667,0.000291667
11,5622.27,0.26861,2.67894,0.98671,0.26342,0.50729,0.37597,0.3505,0.32427,2.86853,0.97116,0.00026563,0.00026563,0.00026563
12,6132.06,0.25131,2.4661,0.9362,0.38936,0.50699,0.47201,0.45598,0.29174,2.75303,0.93578,0.000239593,0.000239593,0.000239593
13,6636.07,0.22159,2.3152,0.89813,0.46935,0.64045,0.56617,0.54792,0.29283,2.54082,0.93206,0.000213556,0.000213556,0.000213556
14,7136.48,0.21545,2.24386,0.92198,0.54303,0.66532,0.63841,0.62597,0.2702,2.4115,0.918,0.000187519,0.000187519,0.000187519
15,7640.06,0.19552,2.0589,0.9022,0.5544,0.6919,0.66593,0.65573,0.24698,2.27679,0.90442,0.000161482,0.000161482,0.000161482
16,8138.81,0.19673,1.9688,0.89047,0.61053,0.74579,0.72648,0.71623,0.23983,2.10704,0.89556,0.000135445,0.000135445,0.000135445
17,8637.41,0.18493,1.81932,0.89124,0.60222,0.72893,0.71896,0.70924,0.2388,2.12428,0.89283,0.000109408,0.000109408,0.000109408
18,9144.85,0.18096,1.73137,0.87473,0.64974,0.77034,0.77451,0.76401,0.23625,1.97698,0.89177,8.3371e-05,8.3371e-05,8.3371e-05
19,9650.79,0.17591,1.68273,0.86665,0.6798,0.74363,0.76329,0.75323,0.23172,1.95436,0.88768,5.7334e-05,5.7334e-05,5.7334e-05
20,10161,0.17469,1.60836,0.87875,0.6537,0.77856,0.78126,0.77143,0.22466,1.85974,0.87985,3.1297e-05,3.1297e-05,3.1297e-05
